"SEXO";"EDAD";"ESTC";"NIVELEST";"SIT_LAB";"TIP_JOR";"ACTIV";"OCUPACION1";"OCUPACION2";"ING_HOG";"TIP_H";"TOT_MH";"TOTAL10_15";"TOT_MEN16";"TOT_MAY74";"TOT_16_64_T";"TOT_16_64_NT";"TOT_16_24_E";"INTEFOR1";"INTEFOR2";"SERV14_1";"SERV14_2";"SERV14_3";"SERV14_4";"SERV14_5";"SERV14_6";"SERV15_1";"SERV15_2";"SERV15_3";"SERV15_4";"SERV15_5";"SERV15_6";"SERV16_1";"SERV16_2";"SERV16_3";"SERV16_4";"SERV17_1";"SERV17_2";"SERV17_3";"ALMINT";"SERV18_1";"SERV18_2";"SERV18_3";"COMPRAS";"ULT_COM";"PROD1";"PROD2";"PROD3";"PROD4";"PROD5";"PROD6";"PROD7";"PROD8";"PROD9";"PROD10";"PROD11";"PROD12";"PROD13";"PROD14";"PROD15";"PROD16";"VENDPRIV";"VENDEDOR1";"VENDEDOR2";"VENDEDOR3";"VENDEDOR4";"NCOMPRAS";"VCOMPRAS";"NCOMPRAS_cont";"VCOMPRAS_cont"
6;29;1;6;1;1;9;6;6;3;2;2;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;6;1;6;6;1;6;6;6;6;1;1;1;1;1;1;1;1;1;6;6;1;6;6;6;6;1;6;1;1;6;6;6;6;6;1;6;6;6;2;3;4;125
1;64;5;1;0;NA;NA;NA;NA;6;5;2;0;0;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;64;5;7;6;NA;NA;NA;NA;6;1;1;0;0;0;0;1;0;6;1;1;6;6;6;1;1;6;6;6;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;48;2;2;1;1;2;1;6;3;3;2;0;0;0;2;0;0;1;1;1;6;1;1;1;6;1;1;1;1;6;6;6;6;6;6;1;1;1;1;6;6;6;1;1;1;1;6;6;6;6;6;6;6;1;6;1;1;6;6;1;6;1;1;1;6;3;3;6;287
6;74;3;2;6;NA;NA;NA;NA;1;5;3;0;0;0;2;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;39;1;1;0;NA;NA;NA;NA;6;4;3;0;0;0;0;3;0;9;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;55;2;1;1;1;4;1;6;3;4;3;0;0;0;3;0;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;1;6;1;6;6;1;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;62;2;1;7;NA;NA;NA;NA;2;3;2;0;0;0;1;1;0;1;1;1;1;1;1;1;6;6;6;6;6;6;6;1;1;6;1;6;1;6;6;6;1;6;1;1;6;6;6;2;6;6;2;6;6;6;6;1;1;6;6;6;6;6;1;6;6;2;3;5;231
1;77;3;0;6;NA;NA;NA;NA;6;1;1;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;50;5;2;4;NA;NA;NA;NA;1;2;3;1;1;0;0;2;1;1;1;1;1;1;1;1;1;1;6;6;1;1;6;1;6;6;6;1;1;6;1;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
