"SEXO";"EDAD";"ESTC";"NIVELEST";"SIT_LAB";"TIP_JOR";"ACTIV";"OCUPACION1";"OCUPACION2";"ING_HOG";"TIP_H";"TOT_MH";"TOTAL10_15";"TOT_MEN16";"TOT_MAY74";"TOT_16_64_T";"TOT_16_64_NT";"TOT_16_24_E";"INTEFOR1";"INTEFOR2";"SERV14_1";"SERV14_2";"SERV14_3";"SERV14_4";"SERV14_5";"SERV14_6";"SERV15_1";"SERV15_2";"SERV15_3";"SERV15_4";"SERV15_5";"SERV15_6";"SERV16_1";"SERV16_2";"SERV16_3";"SERV16_4";"SERV17_1";"SERV17_2";"SERV17_3";"ALMINT";"SERV18_1";"SERV18_2";"SERV18_3";"COMPRAS";"ULT_COM";"PROD1";"PROD2";"PROD3";"PROD4";"PROD5";"PROD6";"PROD7";"PROD8";"PROD9";"PROD10";"PROD11";"PROD12";"PROD13";"PROD14";"PROD15";"PROD16";"VENDPRIV";"VENDEDOR1";"VENDEDOR2";"VENDEDOR3";"VENDEDOR4";"NCOMPRAS";"VCOMPRAS";"NCOMPRAS_cont";"VCOMPRAS_cont"
6;56;5;7;3;1;9;6;6;3;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;6;1;1;1;1;6;1;1;1;6;1;1;1;1;1;1;6;1;1;6;6;6;1;6;6;1;6;6;6;6;6;6;6;6;2;6;1;6;6;6;1;3;1;160
1;58;2;0;0;NA;NA;NA;NA;2;4;3;0;0;0;0;3;1;1;1;1;1;6;1;1;1;1;6;6;1;6;6;1;1;6;1;6;6;6;6;6;1;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;79;2;1;6;NA;NA;NA;NA;3;3;2;0;0;2;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;42;2;5;1;2;4;6;6;3;4;4;1;2;0;2;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;6;6;6;1;1;6;6;6;6;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;1;8;2;NA
1;56;2;2;0;NA;NA;NA;NA;3;2;3;1;1;0;0;2;0;1;1;6;1;1;1;6;1;6;6;1;1;6;6;1;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;66;2;1;6;NA;NA;NA;NA;2;3;2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;6;1;6;6;1;1;6;6;6;6;6;1;6;6;6;1;1;6;6;6;6;6;6;6;6;6;6;6;1;1;1;6;6;6;1;6;6;6;2;3;5;296
1;57;2;3;1;1;2;6;6;5;4;3;0;0;0;2;1;0;1;1;1;1;1;1;1;1;6;1;1;1;6;6;1;1;1;1;6;1;1;1;6;1;6;1;1;2;6;6;6;6;6;6;2;2;2;1;2;1;6;6;2;1;1;1;1;6;4;7;11;1015
1;66;1;2;6;NA;NA;NA;NA;6;5;2;0;0;0;0;0;0;1;1;6;6;1;1;6;6;1;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;42;2;5;1;1;2;6;6;2;4;4;1;2;0;2;0;0;1;6;1;1;1;1;1;1;1;6;6;1;1;6;1;1;6;6;6;1;6;6;6;6;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;58;1;3;1;1;9;6;6;3;1;1;0;0;0;1;0;0;1;1;1;1;6;1;1;1;6;6;6;1;6;1;1;6;6;6;6;1;6;1;6;1;6;1;1;6;6;6;6;6;6;6;2;6;2;2;6;6;6;6;1;6;1;1;1;1;1;3;2;263
1;21;1;3;5;NA;NA;NA;NA;6;2;2;0;0;0;0;2;1;1;1;1;1;6;1;1;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;1;1;1;1;6;6;6;6;6;6;6;1;6;6;6;6;6;6;6;6;6;1;6;6;6;1;3;1;218
1;91;3;1;6;NA;NA;NA;NA;5;5;4;0;0;1;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;53;2;2;1;2;4;6;6;6;5;5;0;0;0;3;2;2;1;6;1;1;6;1;1;1;6;6;1;6;6;6;1;1;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;64;2;7;6;NA;NA;NA;NA;5;3;2;0;0;0;0;1;0;1;1;6;6;6;1;1;1;6;6;6;1;6;6;1;6;6;6;6;1;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;41;2;7;1;1;6;6;6;5;4;4;0;2;0;2;0;0;1;1;1;1;6;1;1;1;1;1;1;1;6;6;1;1;1;1;6;1;6;6;1;6;6;1;1;1;6;1;6;6;6;6;1;6;6;1;1;6;1;6;6;6;1;6;6;6;4;7;18;1268
1;65;2;7;1;1;9;6;6;5;3;2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;6;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;6;6;6;6;1;6;6;6;6;6;6;6;1;1;1;6;6;4;7;14;1035
6;68;2;3;6;NA;NA;NA;NA;5;4;3;0;0;0;1;0;0;1;1;1;1;6;1;1;1;1;1;6;1;6;6;1;6;6;6;6;1;1;1;6;6;6;1;1;6;6;6;6;6;6;6;6;6;6;6;1;1;6;6;6;6;1;6;6;6;1;1;1;48
1;50;1;5;1;1;4;1;6;2;1;1;0;0;0;1;0;0;9;1;6;6;6;6;6;6;6;1;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;19;1;3;5;NA;NA;NA;NA;5;4;4;0;0;0;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;6;6;2;2;2;1;2;1;1;1;1;2;6;1;1;1;1;1;1;2;3;5;125
6;40;2;2;1;1;4;6;6;1;4;3;1;1;0;2;0;0;1;1;1;1;1;1;1;1;1;1;6;1;1;6;1;6;6;6;6;1;1;1;6;6;6;1;1;1;6;6;1;6;6;6;6;6;6;6;6;1;6;6;6;1;1;6;6;6;2;2;3;89
1;71;2;5;6;NA;NA;NA;NA;2;4;3;0;0;0;1;0;0;1;1;6;6;6;6;1;1;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;63;5;2;3;2;10;1;6;1;1;1;0;0;0;1;0;0;1;1;6;6;6;1;1;6;6;6;6;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;47;1;5;3;2;4;1;6;5;5;3;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;6;6;6;6;6;1;1;6;6;6;1;1;1;6;6;6;6;6;6;6;6;6;1;1;6;6;6;6;6;1;6;6;6;1;2;2;74
6;37;2;5;1;2;8;6;6;3;4;4;0;2;0;2;0;0;1;1;1;1;1;1;1;1;1;6;6;1;6;6;1;6;6;6;6;1;6;1;6;6;6;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;54;2;2;4;NA;NA;NA;NA;2;4;3;0;0;0;1;2;0;1;1;6;1;1;1;6;1;1;1;1;1;1;6;1;1;6;6;6;6;1;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;31;1;2;2;1;4;6;6;6;2;2;0;0;0;2;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;1;6;6;1;1;6;1;1;6;1;1;1;6;2;1;6;6;1;1;2;6;1;6;6;6;1;6;1;1;6;6;6;2;4;4;446
6;62;2;2;7;NA;NA;NA;NA;5;3;2;0;0;0;1;1;0;1;1;1;1;6;1;1;1;1;1;6;1;6;6;6;1;6;6;6;1;6;6;6;6;6;1;1;6;6;6;6;1;6;6;6;6;6;6;6;6;6;6;1;1;1;6;6;1;2;3;5;245
6;89;3;1;6;NA;NA;NA;NA;1;1;1;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;70;3;2;6;NA;NA;NA;NA;3;1;1;0;0;0;0;0;0;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;24;1;3;2;1;9;6;6;3;4;3;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;1;6;1;6;1;1;1;1;1;6;1;1;1;1;1;1;6;6;1;1;6;1;1;6;6;6;6;6;1;1;1;6;6;4;3;18;253
1;35;1;2;4;NA;NA;NA;NA;1;1;1;0;0;0;0;1;0;1;1;1;6;1;1;1;1;1;6;6;1;6;6;1;6;6;1;6;6;1;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;81;3;2;9;NA;NA;NA;NA;3;2;2;0;0;1;0;1;0;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;49;1;3;0;NA;NA;NA;NA;1;1;1;0;0;0;0;1;0;1;6;1;1;1;1;6;6;1;6;6;6;6;6;1;6;6;6;6;1;1;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;73;2;9;6;NA;NA;NA;NA;3;4;3;0;0;0;1;0;0;1;1;6;1;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;61;2;1;2;1;3;1;6;2;2;2;0;0;0;2;0;0;1;6;6;1;1;1;6;6;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;73;2;1;6;NA;NA;NA;NA;2;5;3;0;0;1;0;0;0;1;6;6;6;6;1;1;6;6;1;1;1;1;6;1;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;21;1;3;5;NA;NA;NA;NA;5;4;3;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;6;6;6;6;1;1;1;1;1;1;1;1;1;1;2;2;6;6;6;2;2;2;1;1;2;2;6;1;6;1;1;1;6;4;3;12;215
6;49;2;3;4;NA;NA;NA;NA;2;4;4;1;1;0;1;2;1;1;1;1;1;1;1;6;6;6;6;6;6;6;6;1;1;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;39;1;2;1;1;4;6;6;6;1;1;0;0;0;1;0;0;9;1;1;1;1;1;1;1;1;1;1;1;6;6;1;6;1;1;6;1;1;1;1;6;1;1;1;1;1;6;6;6;6;2;6;6;6;1;6;2;6;6;6;1;1;6;1;6;1;2;1;92
6;58;2;2;1;1;10;1;6;6;1;1;0;0;0;1;0;0;1;1;1;1;1;1;6;6;1;6;6;1;6;6;6;6;6;6;6;1;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;45;1;5;4;NA;NA;NA;NA;3;4;3;0;0;0;0;1;0;1;1;1;1;6;1;1;1;1;6;1;1;1;6;6;6;6;6;6;1;6;1;6;1;6;1;1;6;6;1;6;6;6;1;2;1;6;6;6;6;6;6;6;6;1;6;6;6;1;6;2;997
1;55;2;3;1;1;9;6;6;6;4;4;0;0;0;1;3;1;1;6;1;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;60;1;3;1;1;9;6;6;3;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;6;1;6;6;1;1;1;6;6;6;1;1;6;6;6;6;6;6;6;6;6;6;6;1;1;6;6;6;6;1;6;6;6;1;1;1;14
1;37;2;7;3;1;8;6;6;4;4;3;0;1;0;2;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;6;6;1;1;1;1;1;1;6;1;1;1;6;1;1;6;6;2;2;2;2;1;1;2;2;2;1;2;1;1;1;6;4;6;12;707
6;63;2;2;2;1;9;1;6;6;4;4;0;0;0;3;1;0;1;1;6;6;6;1;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;64;2;1;6;NA;NA;NA;NA;6;3;2;0;0;0;0;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;59;2;3;1;1;9;6;6;2;5;2;0;0;0;2;0;0;1;6;6;6;6;6;1;1;6;6;6;6;6;6;1;6;6;6;6;1;6;6;6;6;6;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;51;2;3;1;1;8;6;6;2;4;4;0;0;0;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;2;6;1;1;6;6;4;3;13;179
1;58;2;2;3;1;1;1;6;2;5;2;0;0;0;1;1;0;6;1;6;1;1;6;6;1;1;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;57;1;3;4;NA;NA;NA;NA;1;1;1;0;0;0;0;1;0;1;6;1;1;1;1;1;1;1;6;6;6;6;6;1;6;6;6;6;1;1;1;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;53;2;3;3;1;10;6;6;6;4;3;0;0;0;2;1;1;1;1;1;1;6;1;1;1;1;6;1;6;6;6;1;6;6;6;6;1;1;6;1;6;6;1;1;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;1;1;1;6;6;6;2;3;5;180
6;58;1;7;1;1;9;6;6;3;4;4;0;0;0;2;2;1;1;6;1;1;6;1;1;1;6;6;1;6;1;6;6;1;6;6;6;1;6;6;6;6;6;1;1;1;6;6;6;6;6;6;6;1;6;6;6;6;6;6;6;6;1;6;6;6;2;4;3;461
6;20;2;3;1;1;5;6;1;4;4;4;0;0;0;3;1;1;6;1;1;1;6;1;1;1;1;6;6;6;6;6;1;1;6;1;6;1;6;1;6;6;6;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;2;1;3;32
1;39;1;2;4;NA;NA;NA;NA;2;2;3;0;0;0;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA
6;75;2;5;6;NA;NA;NA;NA;6;3;2;0;0;1;0;0;0;1;1;1;1;1;1;1;1;6;6;6;6;6;6;1;6;6;6;6;6;6;6;6;6;6;1;2;2;6;6;6;6;6;6;6;2;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA
6;33;2;6;1;1;9;6;6;6;3;2;0;0;0;1;1;0;1;1;1;1;1;1;1;6;1;6;1;1;6;6;6;6;6;6;6;1;1;1;6;6;1;1;1;1;6;6;6;6;6;1;6;6;6;6;6;6;6;6;6;1;1;6;6;6;1;8;1;NA
1;89;3;0;6;NA;NA;NA;NA;3;5;3;0;0;1;2;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;81;3;0;6;NA;NA;NA;NA;1;1;1;0;0;1;0;0;0;6;1;6;6;1;1;6;1;1;6;6;1;1;6;1;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;16;1;2;5;NA;NA;NA;NA;3;5;7;0;2;1;1;2;1;1;1;1;1;1;1;6;1;1;1;1;1;6;6;1;6;6;6;6;6;1;1;1;1;1;1;1;1;6;6;1;6;6;6;1;6;6;1;1;6;6;6;6;1;1;6;6;6;1;1;1;18
6;65;5;6;6;NA;NA;NA;NA;6;2;2;0;0;1;0;0;0;1;1;1;1;6;1;6;6;6;6;6;6;1;6;1;1;6;6;1;1;1;1;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;47;2;2;0;NA;NA;NA;NA;6;4;4;2;2;0;0;2;0;6;1;1;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;43;2;2;2;1;3;1;6;2;4;3;0;1;0;1;1;0;1;1;6;1;1;1;1;1;1;6;1;1;6;6;1;6;6;6;6;6;6;6;6;6;6;1;1;1;6;1;6;6;6;1;1;6;6;6;6;6;6;6;1;6;1;1;1;1;3;3;10;190
1;46;1;6;4;NA;NA;NA;NA;6;5;2;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;1;8;1;NA
6;45;1;1;0;NA;NA;NA;NA;1;2;2;0;0;0;0;1;0;1;1;6;1;1;1;6;6;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;43;2;3;4;NA;NA;NA;NA;3;4;3;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;6;6;1;1;6;1;6;6;6;6;1;6;1;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;NA;NA;NA;NA;1;1;2;21
1;54;1;0;0;NA;NA;NA;NA;2;5;2;0;0;1;0;1;0;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;50;1;7;3;1;9;6;6;2;1;1;0;0;0;1;0;0;1;1;1;1;6;1;1;1;1;1;1;1;6;6;1;6;6;6;6;1;6;6;6;6;6;1;1;6;6;6;6;6;6;1;1;6;6;6;6;6;6;6;6;6;1;6;6;6;1;5;1;540
6;54;2;3;0;NA;NA;NA;NA;2;3;2;0;0;0;0;2;0;1;1;1;1;6;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;72;2;1;6;NA;NA;NA;NA;1;3;2;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;90;3;1;6;NA;NA;NA;NA;1;5;3;0;0;3;0;0;0;9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;71;3;7;9;NA;NA;NA;NA;1;1;1;0;0;0;0;0;0;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;36;1;3;2;1;9;6;6;2;2;2;0;1;0;1;0;0;6;1;1;1;1;1;1;1;1;1;6;1;6;6;1;6;6;6;6;1;6;1;6;1;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;68;2;3;3;1;2;6;6;4;3;2;0;0;0;1;0;0;1;6;6;1;6;1;6;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;76;2;1;6;NA;NA;NA;NA;2;3;2;0;0;2;0;0;0;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;83;3;1;6;NA;NA;NA;NA;1;1;1;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;50;2;3;3;1;8;1;6;5;4;4;1;1;0;2;1;1;1;1;1;1;1;1;1;1;6;6;6;6;1;6;1;6;6;6;6;1;1;1;6;6;6;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;29;1;6;2;2;4;6;6;3;3;2;0;0;0;2;0;0;1;6;1;1;1;1;1;1;1;1;1;1;6;6;6;1;1;1;6;1;6;6;1;6;1;1;1;2;2;6;2;6;2;1;2;6;1;6;2;6;1;1;1;2;1;6;6;6;2;3;5;127
6;83;3;2;6;NA;NA;NA;NA;2;1;1;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;33;1;6;4;NA;NA;NA;NA;1;2;2;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;1;6;1;6;1;1;1;1;1;6;1;1;1;1;6;1;1;6;1;6;6;1;6;1;1;1;6;6;6;1;1;1;6;3;4;8;333
6;56;2;5;3;1;10;1;6;6;3;2;0;0;0;2;0;0;1;1;6;6;6;1;1;1;6;6;6;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;58;1;2;1;1;9;6;6;2;5;2;0;0;0;1;1;0;1;1;6;1;6;1;6;6;6;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;40;2;7;1;1;5;6;6;5;4;4;0;2;0;2;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;6;6;6;1;6;1;1;1;6;1;1;1;1;1;6;6;6;1;2;1;6;1;6;6;2;6;6;6;1;6;6;6;2;4;5;457
